meters,price,bathrooms,category,link,municipality,operation,owner,rooms
74 m²,€ 101.200,1 baño,Piso,https://www.indomio.es/anuncios/95445539/,A Coruña,Venta,Aliseda Inmobiliaria,4
203 m²,€ 595.000,3+ baños,Piso,https://www.indomio.es/anuncios/94170515/,A Coruña,Venta,Centro Inmobiliaria A Coruña,5
212 m²,€ 270.000,2 baños,Chalet,https://www.indomio.es/anuncios/94286589/,A Coruña,Venta,,5
50 m²,€ 90.000,,Piso,https://www.indomio.es/anuncios/95328817/,A Coruña,Venta,Inmobiliaria Los Puentes,2
101 m²,€ 390.000,2 baños,Piso,https://www.indomio.es/anuncios/95858467/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,5
51 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/95956855/,A Coruña,Venta,Otero Ramos,3
159 m²,€ 480.000,2 baños,Piso,https://www.indomio.es/anuncios/93861969/,A Coruña,Venta,Versalles Servicios Inmobiliarios,6
105 m²,€ 155.000,2 baños,Piso,https://www.indomio.es/anuncios/95161261/,A Coruña,Venta,Housell,5
77 m²,€ 43.000,1 baño,Piso,https://www.indomio.es/anuncios/95501109/,A Coruña,Venta,Inmobiliaria Pardo,3
400 m²,€ 975.000,3 baños,Chalet,https://www.indomio.es/anuncios/95605115/,A Coruña,Venta,Fogar servicios inmobiliarios,7
93 m²,€ 179.900,2 baños,Piso,https://www.indomio.es/anuncios/95733769/,A Coruña,Venta,Proyectos Integrales Norte SL,5
124 m²,€ 480.000,2 baños,Piso,https://www.indomio.es/anuncios/95949889/,A Coruña,Venta,,5
95 m²,€ 245.000,,Piso,https://www.indomio.es/anuncios/95964999/,A Coruña,Venta,Inmobiliaria Los Puentes,3
118 m²,€ 113.525,3 baños,Dúplex,https://www.indomio.es/anuncios/94041419/,A Coruña,Venta,Inmobiliaria Pardo,7
140 m²,€ 202.500,,Piso,https://www.indomio.es/anuncios/94961267/,A Coruña,Venta,Aliseda Inmobiliaria,
130 m²,€ 369.000,2 baños,Piso,https://www.indomio.es/anuncios/95850297/,A Coruña,Venta,Inmoforum,5
249 m²,€ 630.000,,Edificio,https://www.indomio.es/anuncios/95923415/,A Coruña,Venta,Inmobiliaria Los Puentes,
192 m²,€ 600.000,,Piso ,https://www.indomio.es/anuncios/93470717/,A Coruña,Venta,Asesoría Díaz,4
51 m²,€ 185.000,1 baño,Piso,https://www.indomio.es/anuncios/95514851/,A Coruña,Venta,,2
79 m²,€ 55.000,1 baño,Casa adosada,https://www.indomio.es/anuncios/95569135/,A Coruña,Venta,Inmobiliaria Pardo,2
95 m²,€ 210.000,1 baño,Piso,https://www.indomio.es/anuncios/95568027/,A Coruña,Venta,,3
96 m²,€ 210.000,2 baños,Piso,https://www.indomio.es/anuncios/95568025/,A Coruña,Venta,,4
89 m²,€ 265.000,,Piso,https://www.indomio.es/anuncios/94818525/,A Coruña,Venta,Wengué,2
9.300 m²,€ 2.840.000,,Piso,https://www.indomio.es/anuncios/94881389/,A Coruña,Venta,Grupo Beiramar,
79 m²,€ 110.000,2 baños,Piso,https://www.indomio.es/anuncios/95858465/,A Coruña,Venta,Asinmo Asesoria - Inmobiliaria,5
80 m²,€ 270.000,1 baño,Piso,https://www.indomio.es/anuncios/95898971/,A Coruña,Venta,Urbeko Inmobiliaria,3
366 m²,€ 395.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/89729551/,A Coruña,Venta,Gestión Inmobiliaria Artemisa,8
100 m²,€ 210.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95040627/,A Coruña,Venta,Inmobiliaria Pardo,5
187 m²,€ 650.000,3 baños,Piso,https://www.indomio.es/anuncios/95360063/,A Coruña,Venta,A&C Inmobiliaria,8
84 m²,€ 135.000,1 baño,Piso ,https://www.indomio.es/anuncios/95606929/,A Coruña,Venta,INMOBILIARIA CENTRO,3
171 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/95965001/,A Coruña,Venta,Inmobiliaria Los Puentes,4
98 m²,€ 150.000,1 baño,Piso,https://www.indomio.es/anuncios/93335427/,A Coruña,Venta,Hi Homie,5
99 m²,€ 397.000,2 baños,Piso,https://www.indomio.es/anuncios/94504969/,A Coruña,Venta,LOSADA&CO,4
83 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/94966331/,A Coruña,Venta,Versalles Servicios Inmobiliarios,4
57 m²,€ 99.000,1 baño,Piso,https://www.indomio.es/anuncios/95086491/,A Coruña,Venta,INMOTK,4
500 m²,€ 750.000,,Edificio,https://www.indomio.es/anuncios/94286007/,A Coruña,Venta,,
176 m²,€ 99.900,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95616293/,A Coruña,Venta,Inmobiliaria Pardo,6
78 m²,€ 160.000,,Piso,https://www.indomio.es/anuncios/95769955/,A Coruña,Venta,Inmobiliaria Los Puentes,2
422 m²,€ 600.000,,Edificio,https://www.indomio.es/anuncios/94285815/,A Coruña,Venta,,
82 m²,€ 240.000,1 baño,Piso,https://www.indomio.es/anuncios/95787107/,A Coruña,Venta,,3
87 m²,€ 179.000,1 baño,Piso ,https://www.indomio.es/anuncios/92422379/,A Coruña,Venta,,5
173 m²,€ 500.000,,Edificio,https://www.indomio.es/anuncios/92535301/,A Coruña,Venta,Proyectos Integrales Norte SL,
139 m²,€ 298.000,2 baños,Piso,https://www.indomio.es/anuncios/92877253/,A Coruña,Venta,Inmoforum,6
210 m²,€ 650.000,3+ baños,Piso,https://www.indomio.es/anuncios/92908055/,A Coruña,Venta,Housfy,5
68 m²,€ 272.000,1 baño,Piso,https://www.indomio.es/anuncios/95617717/,A Coruña,Venta,,2
78 m²,€ 189.000,1 baño,Piso,https://www.indomio.es/anuncios/94528103/,A Coruña,Venta,,3
46 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/94799039/,A Coruña,Venta,BRIGANTIA REAL ESTATE,2
60 m²,€ 295.000,1 baño,Piso,https://www.indomio.es/anuncios/95353893/,A Coruña,Venta,Urbeko Inmobiliaria,3
273 m²,€ 675.000,2 baños,Piso,https://www.indomio.es/anuncios/95899913/,A Coruña,Venta,,8
938 m²,€ 129.000,,Piso,https://www.indomio.es/anuncios/95957371/,A Coruña,Venta,Quantum Grupo Inmobiliario,1
187 m²,€ 754.000,2 baños,Piso,https://www.indomio.es/anuncios/87805817/,A Coruña,Venta,Inmoarch,5
163 m²,€ 1.100.000,2 baños,Ático,https://www.indomio.es/anuncios/94271537/,A Coruña,Venta,,6
110 m²,€ 215.000,2 baños,Piso ,https://www.indomio.es/anuncios/95591175/,A Coruña,Venta,Inmobiliaria Solis,6
123 m²,€ 152.000,,Piso,https://www.indomio.es/anuncios/95844331/,A Coruña,Venta,Aliseda Inmobiliaria,
138 m²,€ 300.000,2 baños,Piso,https://www.indomio.es/anuncios/95604813/,A Coruña,Venta,Fogar servicios inmobiliarios,7
419 m²,€ 800.000,3+ baños,Chalet,https://www.indomio.es/anuncios/95863895/,A Coruña,Venta,PROMOVE GALICIA,341
127 m²,€ 275.000,2 baños,Piso,https://www.indomio.es/anuncios/91792085/,A Coruña,Venta,SC Inmobiliarias,6
116 m²,€ 210.000,1 baño,Chalet,https://www.indomio.es/anuncios/94289625/,A Coruña,Venta,,3
238 m²,€ 370.000,3 baños,Chalet,https://www.indomio.es/anuncios/95140629/,A Coruña,Venta,,9
121 m²,€ 350.000,2 baños,Piso,https://www.indomio.es/anuncios/95204791/,A Coruña,Venta,Inmoforum,5
123 m² ,€ 286.000,2 baños,Piso,https://www.indomio.es/anuncios/95738407/,A Coruña,Venta,BRIGANTIA REAL ESTATE,5
234 m²,€ 1.500.000,3+ baños,Piso,https://www.indomio.es/anuncios/95763061/,A Coruña,Venta,Versalles Servicios Inmobiliarios,5
99 m²,€ 335.000,2 baños,Piso ,https://www.indomio.es/anuncios/95840769/,A Coruña,Venta,INMOBILIARIA CENTRO,5
52 m²,€ 137.000,1 baño,Piso,https://www.indomio.es/anuncios/95913705/,A Coruña,Venta,,3
203 m²,€ 590.000,3 baños,Piso,https://www.indomio.es/anuncios/91792107/,A Coruña,Venta,SC Inmobiliarias,6
76 m²,€ 117.000,1 baño,Piso,https://www.indomio.es/anuncios/93633251/,A Coruña,Venta,Inmoforum,5
120 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/95029989/,A Coruña,Venta,Proyectos Integrales Norte SL,6
59 m²,€ 319.500,,Piso,https://www.indomio.es/anuncios/94971983/,A Coruña,Venta,Inmobiliaria Los Puentes,2
90 m²,€ 295.000,2 baños,Piso,https://www.indomio.es/anuncios/95126115/,A Coruña,Venta,Centro Inmobiliaria A Coruña,5
55 m²,€ 145.000,,Ático,https://www.indomio.es/anuncios/95741577/,A Coruña,Venta,PISO 123.COM,1
49 m²,€ 80.000,1 baño,Piso,https://www.indomio.es/anuncios/95778691/,A Coruña,Venta,Inmobiliaria Pardo,2
110 m²,€ 260.000,2 baños,Piso,https://www.indomio.es/anuncios/95949095/,A Coruña,Venta,Urbeko Inmobiliaria,6
65 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/95357777/,A Coruña,Venta,Housell,4
165 m²,€ 237.000,3 baños,Piso,https://www.indomio.es/anuncios/94286513/,A Coruña,Venta,,7
83 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/94999903/,A Coruña,Venta,Housell,5
105 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95010453/,A Coruña,Venta,Centro Inmobiliaria A Coruña,4
115 m²,€ 330.000,2 baños,Piso,https://www.indomio.es/anuncios/95229637/,A Coruña,Venta,,6
111 m²,€ 420.000,2 baños,Piso,https://www.indomio.es/anuncios/95744805/,A Coruña,Venta,INMOTK,5
90 m²,€ 60.000,1 baño,Piso,https://www.indomio.es/anuncios/95997331/,A Coruña,Venta,Gestión Inmobiliaria Artemisa,4
90 m²,€ 171.000,2 baños,Piso ,https://www.indomio.es/anuncios/92294379/,A Coruña,Venta | Alquiler con opción a compra,,6
91 m²,€ 210.000,,Piso,https://www.indomio.es/anuncios/95668283/,A Coruña,Venta,Atico Servicios Inmobiliarios,1
197 m²,€ 210.000,1 baño,Casa adosada,https://www.indomio.es/anuncios/95856603/,A Coruña,Venta,Quantum Grupo Inmobiliario,3
157 m²,€ 1.021.000,2 baños,Ático,https://www.indomio.es/anuncios/95984205/,A Coruña,Venta,,5
163 m²,€ 479.500,2 baños,Piso,https://www.indomio.es/anuncios/95984213/,A Coruña,Venta,,5
66 m²,€ 190.000,1 baño,Piso,https://www.indomio.es/anuncios/94871073/,A Coruña,Venta,Inmoforum,3
90 m²,€ 295.000,2 baños,Piso ,https://www.indomio.es/anuncios/95068589/,A Coruña,Venta,INMOBILIARIA CENTRO,5
