titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
"Piso de cuatro habitaciones segunda planta, Nou Eixample, Tarragona",107 m² ,€ 157.000,1 baño,Piso,https://www.indomio.es/anuncios/94644693/,Tarragona,Venta,Unic Propietats,5
"Chalet 11 habitaciones, Torreforta-La Granja-Campclar, Tarragona",431 m² ,€ 305.000,3+ baños,Chalet,https://www.indomio.es/anuncios/95527545/,Tarragona,Venta,El Balcó Immobiliària,12
"Piso Prat De La Riba, Nou Eixample, Tarragona",128 m²,€ 145.000,2 baños,Piso,https://www.indomio.es/anuncios/95020619/,Tarragona,Venta,Remar Spais,2
"Piso de tres habitaciones Calle Amposta-torreforta-, Torreforta-La Granja-Campclar, Tarragona",86 m²,€ 55.000,1 baño,Piso,https://www.indomio.es/anuncios/94605729/,Tarragona,Venta,Aliseda Inmobiliaria,4
"Piso de cuatro habitaciones 119 m², Bonavista, Tarragona",119 m²,€ 120.000,1 baño,Piso,https://www.indomio.es/anuncios/95379241/,Tarragona,Venta,El Balcó Immobiliària,5
"Piso de tres habitaciones tercera planta, Barris Marítims, Tarragona",73 m²,€ 70.000,1 baño,Piso,https://www.indomio.es/anuncios/95812985/,Tarragona,Venta,Velstand Servicios inmobiliarios,4
"Casa unifamiliar Calle VALL DARAN, Urbanitzacions de Llevant, Tarragona",490 m² ,€ 595.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/92956875/,Tarragona,Venta,Fincas Eva,6
"Piso de cuatro habitaciones buen estado, segunda planta, Barris Marítims, Tarragona",109 m²,€ 215.000,2 baños,Piso,https://www.indomio.es/anuncios/95762355/,Tarragona,Venta,Unic Propietats,6
"Casa adosada Antonio Vivaldi, Urbanitzacions de Llevant, Tarragona",248 m²,€ 650.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/93978079/,Tarragona,Venta,GARRIDO IMMOBILIÀRIA,7
"Piso de dos habitaciones Carrer de l'Oreneta, Urbanitzacions de Llevant, Tarragona",84 m²,€ 180.000,1 baño,Piso,https://www.indomio.es/anuncios/94744881/,Tarragona,Venta,Housfy,3
"Casa unifamiliar 3 habitaciones, Sant Pere i Sant Pau, Tarragona",181 m²,€ 255.000,2 baños,Casa unifamiliar ,https://www.indomio.es/anuncios/94031385/,Tarragona,Venta,Franquiciado Tecnocasa: ASSESSORIA CIUTAT DE TARRAGONA SLU,6
"Piso de tres habitaciones buen estado, segunda planta, Sant Salvador, Tarragona",89 m²,€ 136.000,2 baños,Piso,https://www.indomio.es/anuncios/95832563/,Tarragona,Venta,Inmoiberia,5
"Piso de cuatro habitaciones Calle cuirateries, Part Alta, Tarragona",200 m²,€ 315.000,3 baños,Piso,https://www.indomio.es/anuncios/95744235/,Tarragona,Venta,El Piset Immobiliaria,7
"Piso Calle Del Pare Palau, Nou Eixample, Tarragona",137 m²,,2 baños,Piso,https://www.indomio.es/anuncios/95575273/,Tarragona,Venta,Immo BC,7
"Piso de dos habitaciones segunda planta, Bonavista, Tarragona",64 m²,€ 84.000,1 baño,Piso,https://www.indomio.es/anuncios/95312245/,Tarragona,Venta,Farre Industrial,3
"Piso de cuatro habitaciones Carrer Nou de Sant Pau 5, Nou Eixample, Tarragona",106 m²,€ 105.000,1 baño,Piso,https://www.indomio.es/anuncios/94316475/,Tarragona,Venta,Logicgest Inversion Inmobiliaria,6
"Piso de tres habitaciones Calle Sant Domenec, Part Alta, Tarragona",91 m²,€ 190.000,1 baño,Piso,https://www.indomio.es/anuncios/92956951/,Tarragona,Venta,Fincas Eva,4
"Piso de cuatro habitaciones buen estado, Nou Eixample, Tarragona",126 m²,€ 199.900,2 baños,Piso,https://www.indomio.es/anuncios/95834117/,Tarragona,Venta,CENTURY 21 Inmovip,6
"Piso de dos habitaciones Calle Del General Contreras, Barris Marítims, Tarragona",71 m²,€ 136.000,desc,Piso,https://www.indomio.es/anuncios/95522455/,Tarragona,Venta,Immo BC,2
"Piso de una habitación Calle Riu De Llobregat, Torreforta-La Granja-Campclar, Tarragona",78 m²,€ 73.600,1 baño,Piso,https://www.indomio.es/anuncios/95467875/,Tarragona,Venta,Aliseda Inmobiliaria,2
