titulo,meters,price,bathrooms,category,link,municipality,operation,owner,rooms
Nave en Venta,380 m²,€ 240.000,1 baño,Nave,https://www.indomio.es/anuncios/95052149/,Vitoria - Gasteiz,Venta,INMOBILIARIA MENDI,1
Nave en Venta,540 m²,€ 905.000,1 baño,Nave,https://www.indomio.es/anuncios/94967821/,Andorra la Vella,Venta,Andorra Finques,1
Nave en Venta,1.878 m²,€ 10.500.000,1 baño,Nave,https://www.indomio.es/anuncios/85577465/,Andorra la Vella,Venta,Finques 3 Cases,1
Nave en Venta,385 m²,€ 595.000,desc,Nave,https://www.indomio.es/anuncios/93285873/,Andorra la Vella,Venta,On Star Immobiliària,0
Nave en Venta,500 m² ,€ 1.750.000,desc,Nave,https://www.indomio.es/anuncios/95705737/,Torrevieja,Venta,RC Sales & Constructions,0
Nave en Venta,1.270 m²,€ 340.000,desc,Nave,https://www.indomio.es/anuncios/94286121/,Santiago de Compostela,Venta,,0
Nave en Venta,1.426 m² ,€ 700.000,2 baños,Nave,https://www.indomio.es/anuncios/95710449/,Santiago de Compostela,Venta,Best House Santiago Zona Nueva,2
Nave en Venta,2.900 m²,€ 1.200.000,3+ baños,Nave,https://www.indomio.es/anuncios/87145467/,Santiago de Compostela,Venta,URBAN,1
Nave en Venta,882 m²,€ 320.000,desc,Nave,https://www.indomio.es/anuncios/94355835/,Santiago de Compostela,Venta,Wengué,2
Nave en Venta,6.000 m²,€ 700.000,2 baños,Nave,https://www.indomio.es/anuncios/83481155/,Santiago de Compostela,Venta,URBAN,2
Nave en Venta,1.426 m²,€ 700.000,desc,Nave,https://www.indomio.es/anuncios/94244851/,Santiago de Compostela,Venta,Best House Santiago Plazavigo,0
Nave en Venta,desc,€ 300.000,desc,Nave,https://www.indomio.es/anuncios/85624605/,Villaquilambre,Venta,Inmobiliaria OrdoÑo,0
Nave en Venta,450 m²,€ 115.000,desc,Nave,https://www.indomio.es/anuncios/91962707/,Santovenia de La Valdoncina,Venta,Inmobiliaria Pilar Ramos,0
Nave en Venta,450 m²,€ 350.000,3 baños,Nave,https://www.indomio.es/anuncios/85103025/,Santovenia de La Valdoncina,Venta,Inmobiliaria Humedo,3
Nave en Venta,650 m²,€ 285.000,2 baños,Nave,https://www.indomio.es/anuncios/95004707/,Santovenia de La Valdoncina,Venta,Inmobiliaria Santa Ana,2
Nave en Venta,200 m² ,€ 150.000,2 baños,Nave,https://www.indomio.es/anuncios/95700795/,Santovenia de La Valdoncina,Venta,Best House León,2
Nave en Venta,1.000 m²,€ 280.000,2 baños,Nave,https://www.indomio.es/anuncios/95004689/,Santovenia de La Valdoncina,Venta,Inmobiliaria Santa Ana,2
Nave en Venta,300 m²,€ 95.000,desc,Nave,https://www.indomio.es/anuncios/94954933/,Zamora,Venta,Inmobiliaria Santa Clara,0
Nave en Venta,1.178 m² ,€ 420.000,3 baños,Nave,https://www.indomio.es/anuncios/95710265/,Coreses,Venta,Inmobiliaria La Brasa,3
Nave en Venta,1.752 m²,€ 219.000,desc,Nave,https://www.indomio.es/anuncios/95629659/,Coreses,Venta,HOME 2008,0
Local comercial en Venta,21 m²,€ 45.000,desc,Local comercial,https://www.indomio.es/anuncios/94955007/,Zamora,Venta,Inmobiliaria Santa Clara,0
Local comercial en Venta,67 m²,€ 39.000,desc,Local comercial,https://www.indomio.es/anuncios/95551225/,Zamora,Venta,Estudio10 Inmobiliaria,1
Nave en Venta,494 m²,€ 150.000,desc,Nave,https://www.indomio.es/anuncios/95516075/,Coreses,Venta,Inmobiliaria Santa Clara,0
Local comercial en Venta,325 m²,€ 360.000,desc,Local comercial,https://www.indomio.es/anuncios/94449867/,Zamora,Venta,Inmobiliaria del Duero,0
Nave en Venta,195 m²,€ 35.000,desc,Nave,https://www.indomio.es/anuncios/94762193/,Coreses,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,850 m²,€ 400.000,2 baños,Local comercial,https://www.indomio.es/anuncios/95551229/,Zamora,Venta,Estudio10 Inmobiliaria,3
Local comercial en Venta,173 m²,€ 105.000,desc,Local comercial,https://www.indomio.es/anuncios/94463659/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,125 m²,€ 130.000,desc,Local comercial,https://www.indomio.es/anuncios/95629759/,Zamora,Venta,HOME 2008,1
Local comercial en Venta,190 m²,€ 95.000,desc,Local comercial,https://www.indomio.es/anuncios/94463699/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,39 m²,€ 28.000,desc,Local comercial,https://www.indomio.es/anuncios/93833323/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,416 m²,€ 679.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94463617/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,285 m²,€ 110.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246697/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,61 m² ,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/95687769/,Zamora,Venta,Inmobiliaria Elena Mayado,0
Local comercial en Venta,125 m²,€ 75.000,desc,Local comercial,https://www.indomio.es/anuncios/87754629/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,165 m²,€ 125.000,desc,Local comercial,https://www.indomio.es/anuncios/92761851/,Zamora,Venta,Inmobiliaria Loft 14,2
Local comercial en Venta,572 m²,€ 298.000,desc,Local comercial,https://www.indomio.es/anuncios/95629725/,Zamora,Venta,HOME 2008,1
Local comercial en Venta,188 m²,€ 120.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246761/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,340 m²,€ 185.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94955063/,Zamora,Venta,Inmobiliaria Santa Clara,1
Local comercial en Venta,126 m²,€ 280.000,2 baños,Local comercial,https://www.indomio.es/anuncios/94946783/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,204 m²,€ 149.900,desc,Local comercial,https://www.indomio.es/anuncios/95653111/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,55 m²,€ 100.000,desc,Local comercial,https://www.indomio.es/anuncios/85246657/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,135 m²,€ 90.000,2 baños,Local comercial,https://www.indomio.es/anuncios/93017751/,Zamora,Venta,Inmobiliaria La Brasa,2
Local comercial en Venta,124 m²,€ 102.000,desc,Local comercial,https://www.indomio.es/anuncios/95927633/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,513 m²,€ 400.000,2 baños,Local comercial,https://www.indomio.es/anuncios/93766273/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,6
Local comercial en Venta,39 m²,,2 baños,Local comercial,https://www.indomio.es/anuncios/94955103/,Zamora,Venta,Inmobiliaria Santa Clara,2
Local comercial en Venta,164 m²,€ 70.000,2 baños,Local comercial,https://www.indomio.es/anuncios/94061455/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,84 m²,€ 160.000,2 baños,Local comercial,https://www.indomio.es/anuncios/92761845/,Zamora,Venta,Inmobiliaria Loft 14,5
Local comercial en Venta,265 m²,€ 450.000,desc,Local comercial,https://www.indomio.es/anuncios/95629687/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,374 m²,€ 600.000,desc,Local comercial,https://www.indomio.es/anuncios/94955049/,Zamora,Venta,Inmobiliaria Santa Clara,0
Local comercial en Venta,260 m²,€ 190.000,desc,Local comercial,https://www.indomio.es/anuncios/94814187/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,2
Local comercial en Venta,34 m²,€ 35.000,desc,Local comercial,https://www.indomio.es/anuncios/95037501/,Zamora,Venta,Abaco Inmobiliaria,0
Local comercial en Venta,282 m²,€ 508.000,desc,Local comercial,https://www.indomio.es/anuncios/94814181/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,490 m²,€ 120.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94463677/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,237 m²,€ 369.000,desc,Local comercial,https://www.indomio.es/anuncios/94571477/,Zamora,Venta,Aliseda Inmobiliaria,0
Local comercial en Venta,51 m²,€ 45.000,desc,Local comercial,https://www.indomio.es/anuncios/95653107/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,90 m²,€ 95.000,2 baños,Local comercial,https://www.indomio.es/anuncios/95158223/,Zamora,Venta,Inmobiliaria La Brasa,2
Local comercial en Venta,55 m²,€ 100.000,desc,Local comercial,https://www.indomio.es/anuncios/85246661/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,68 m²,€ 50.000,desc,Local comercial,https://www.indomio.es/anuncios/95629701/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,120 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/91405617/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,85 m²,€ 59.000,desc,Local comercial,https://www.indomio.es/anuncios/77380565/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,730 m²,€ 900.000,desc,Local comercial,https://www.indomio.es/anuncios/94191331/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,160 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/94463701/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,24 m²,€ 64.000,2 baños,Local comercial,https://www.indomio.es/anuncios/95551227/,Zamora,Venta,Estudio10 Inmobiliaria,3
Local comercial en Venta,360 m²,€ 96.000,desc,Local comercial,https://www.indomio.es/anuncios/95653089/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,204 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/92761841/,Zamora,Venta,Inmobiliaria Loft 14,3
Local comercial en Venta,598 m²,€ 131.950,desc,Local comercial,https://www.indomio.es/anuncios/93191101/,Zamora,Venta,lemosinversiones.es,0
Local comercial en Venta,29 m²,€ 13.000,1 baño,Local comercial,https://www.indomio.es/anuncios/91599861/,Zamora,Venta,lemosinversiones.es,4
Local comercial en Venta,75 m²,€ 90.000,desc,Local comercial,https://www.indomio.es/anuncios/95102301/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,24 m²,€ 49.000,desc,Local comercial,https://www.indomio.es/anuncios/92761847/,Zamora,Venta,Inmobiliaria Loft 14,1
Local comercial en Venta,125 m²,€ 100.000,desc,Local comercial,https://www.indomio.es/anuncios/92761839/,Zamora,Venta,Inmobiliaria Loft 14,1
Local comercial en Venta,109 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/86690453/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,60 m²,€ 97.000,desc,Local comercial,https://www.indomio.es/anuncios/94019951/,Zamora,Venta,Inmobiliaria Loft 14,2
Local comercial en Venta,130 m²,€ 88.830,desc,Local comercial,https://www.indomio.es/anuncios/94562247/,Zamora,Venta,Aliseda Inmobiliaria,0
Local comercial en Venta,239 m²,€ 150.000,desc,Local comercial,https://www.indomio.es/anuncios/87754627/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,75 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/95653085/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,175 m²,€ 75.000,desc,Local comercial,https://www.indomio.es/anuncios/93979481/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,47 m²,€ 33.000,desc,Local comercial,https://www.indomio.es/anuncios/94449865/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,30 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/95629705/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,405 m²,€ 155.000,desc,Local comercial,https://www.indomio.es/anuncios/95250629/,Zamora,Venta,Aliseda Inmobiliaria,0
Local comercial en Venta,374 m²,€ 650.000,desc,Local comercial,https://www.indomio.es/anuncios/95629663/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,246 m²,€ 750.000,desc,Local comercial,https://www.indomio.es/anuncios/95372705/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,4
Local comercial en Venta,188 m²,€ 300.000,3+ baños,Local comercial,https://www.indomio.es/anuncios/95561085/,Zamora,Venta,Inmobiliaria Elena Mayado,1
Local comercial en Venta,1.780 m² ,€ 1.100.000,desc,Local comercial,https://www.indomio.es/anuncios/94918671/,Zamora,Venta,Safti,0
Local comercial en Venta,280 m²,€ 140.000,desc,Local comercial,https://www.indomio.es/anuncios/94814185/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,74 m²,€ 39.900,desc,Local comercial,https://www.indomio.es/anuncios/95629707/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,518 m²,€ 295.800,desc,Local comercial,https://www.indomio.es/anuncios/93667675/,Zamora,Venta,DICAR,0
Local comercial en Venta,95 m²,€ 120.000,2 baños,Local comercial,https://www.indomio.es/anuncios/94954931/,Zamora,Venta,Inmobiliaria Santa Clara,2
Local comercial en Venta,160 m²,€ 210.000,3 baños,Local comercial,https://www.indomio.es/anuncios/79578739/,Zamora,Venta,Inmobiliaria La Brasa,3
Bar en Venta,47 m²,€ 39.000,desc,Actividad comercial ,https://www.indomio.es/anuncios/89375969/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,40 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/95653081/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,104 m²,€ 80.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85715589/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,75 m²,€ 53.000,1 baño,Local comercial,https://www.indomio.es/anuncios/89463631/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,135 m²,€ 100.500,desc,Local comercial,https://www.indomio.es/anuncios/92010157/,Zamora,Venta,lemosinversiones.es,0
Local comercial en Venta,35 m²,€ 49.000,1 baño,Local comercial,https://www.indomio.es/anuncios/93078225/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,468 m²,€ 340.000,desc,Local comercial,https://www.indomio.es/anuncios/92761837/,Zamora,Venta,Inmobiliaria Loft 14,3
Local comercial en Venta,742 m²,€ 1.250.000,desc,Local comercial,https://www.indomio.es/anuncios/85246725/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,100 m²,€ 299.990,1 baño,Local comercial,https://www.indomio.es/anuncios/94449781/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,30 m²,€ 24.000,desc,Local comercial,https://www.indomio.es/anuncios/95981129/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,175 m²,,desc,Local comercial,https://www.indomio.es/anuncios/94591355/,Zamora,Venta,Aliseda Inmobiliaria,0
Local comercial en Venta,136 m²,€ 68.000,desc,Local comercial,https://www.indomio.es/anuncios/94449825/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,131 m²,€ 125.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94955107/,Zamora,Venta,Inmobiliaria Santa Clara,1
Local comercial en Venta,65 m²,€ 46.000,1 baño,Local comercial,https://www.indomio.es/anuncios/88563507/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,100 m²,€ 68.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246607/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,61 m²,€ 79.900,desc,Local comercial,https://www.indomio.es/anuncios/95653105/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,83 m²,€ 39.999,1 baño,Local comercial,https://www.indomio.es/anuncios/85246755/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,90 m²,€ 120.000,desc,Local comercial,https://www.indomio.es/anuncios/88675277/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,90 m²,€ 90.000,desc,Local comercial,https://www.indomio.es/anuncios/85715663/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,104 m²,€ 42.900,desc,Local comercial,https://www.indomio.es/anuncios/94572903/,Zamora,Venta,Aliseda Inmobiliaria,0
Local comercial en Venta,51 m²,€ 49.000,1 baño,Local comercial,https://www.indomio.es/anuncios/93071549/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,92 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/95629653/,Zamora,Venta,HOME 2008,0
Local comercial en Venta,101 m²,€ 25.000,desc,Local comercial,https://www.indomio.es/anuncios/93454817/,Zamora,Venta,Inmobiliaria Loft 14,1
Local comercial en Venta,425 m²,€ 180.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94449861/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,70 m²,€ 40.000,desc,Local comercial,https://www.indomio.es/anuncios/95981119/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,2
Local comercial en Venta,255 m²,€ 140.000,desc,Local comercial,https://www.indomio.es/anuncios/94061457/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,45 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/93288991/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,239 m²,€ 150.000,desc,Local comercial,https://www.indomio.es/anuncios/93681477/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,65 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/94463643/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,43 m²,€ 39.900,desc,Local comercial,https://www.indomio.es/anuncios/87716357/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,231 m²,€ 290.000,2 baños,Local comercial,https://www.indomio.es/anuncios/94463625/,Zamora,Venta,Inmobiliaria del Duero,2
Local comercial en Venta,291 m²,€ 100.000,desc,Local comercial,https://www.indomio.es/anuncios/95975721/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,28 m²,€ 29.000,desc,Local comercial,https://www.indomio.es/anuncios/93052631/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,1
Local comercial en Venta,139 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/95981123/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,59 m²,€ 55.000,desc,Local comercial,https://www.indomio.es/anuncios/85246729/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,55 m²,€ 52.000,1 baño,Local comercial,https://www.indomio.es/anuncios/77598389/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,233 m²,€ 180.000,desc,Local comercial,https://www.indomio.es/anuncios/77396001/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,40 m²,€ 60.000,1 baño,Local comercial,https://www.indomio.es/anuncios/89351309/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,135 m²,€ 90.000,1 baño,Local comercial,https://www.indomio.es/anuncios/85246651/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,1.040 m²,€ 275.000,2 baños,Local comercial,https://www.indomio.es/anuncios/77344271/,Zamora,Venta,Inmobiliaria La Brasa,2
Local comercial en Venta,200 m²,€ 249.000,2 baños,Local comercial,https://www.indomio.es/anuncios/83441257/,Zamora,Venta,Inmobiliaria La Brasa,2
Local comercial en Venta,220 m²,€ 55.000,desc,Local comercial,https://www.indomio.es/anuncios/94463695/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,22 m²,€ 64.000,2 baños,Local comercial,https://www.indomio.es/anuncios/95653173/,Zamora,Venta,Alza Inmobiliaria,4
Local comercial en Venta,26 m²,€ 23.000,desc,Local comercial,https://www.indomio.es/anuncios/95653083/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,160 m²,€ 160.000,desc,Local comercial,https://www.indomio.es/anuncios/91405651/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,440 m²,€ 200.000,desc,Local comercial,https://www.indomio.es/anuncios/91405643/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,260 m²,€ 140.000,desc,Local comercial,https://www.indomio.es/anuncios/77394473/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,123 m²,€ 49.200,desc,Local comercial,https://www.indomio.es/anuncios/94861937/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,36 m²,€ 58.000,desc,Local comercial,https://www.indomio.es/anuncios/95253307/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,250 m²,€ 125.000,desc,Local comercial,https://www.indomio.es/anuncios/94762199/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,90 m²,€ 140.000,desc,Local comercial,https://www.indomio.es/anuncios/92250427/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,94 m²,€ 80.000,desc,Local comercial,https://www.indomio.es/anuncios/95625647/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,61 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/88495037/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,142 m²,€ 120.000,desc,Local comercial,https://www.indomio.es/anuncios/95981127/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Local comercial en Venta,91 m²,€ 85.000,desc,Local comercial,https://www.indomio.es/anuncios/93709469/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,48 m²,€ 53.000,1 baño,Local comercial,https://www.indomio.es/anuncios/77395303/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,261 m²,€ 180.000,desc,Local comercial,https://www.indomio.es/anuncios/85246595/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,181 m²,€ 190.000,desc,Local comercial,https://www.indomio.es/anuncios/85246597/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,116 m²,€ 33.000,desc,Local comercial,https://www.indomio.es/anuncios/92280417/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,0
Local comercial en Venta,184 m²,€ 40.000,desc,Local comercial,https://www.indomio.es/anuncios/92833073/,Zamora,Venta,Inmobiliaria Loft 14,1
Local comercial en Venta,55 m²,€ 80.000,desc,Local comercial,https://www.indomio.es/anuncios/95629829/,Zamora,Venta,HOME 2008,1
Local comercial en Venta,42 m²,€ 70.000,1 baño,Local comercial,https://www.indomio.es/anuncios/92371171/,Zamora,Venta,Inmobiliaria La Brasa,1
Local comercial en Venta,136 m²,€ 60.000,desc,Local comercial,https://www.indomio.es/anuncios/95653087/,Zamora,Venta,Alza Inmobiliaria,0
Local comercial en Venta,101 m²,€ 195.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94955031/,Zamora,Venta,Inmobiliaria Santa Clara,1
Local comercial en Venta,124 m²,€ 102.000,desc,Local comercial,https://www.indomio.es/anuncios/95929001/,Zamora,Venta,Estudio10 Inmobiliaria,0
Trastero - Almacén en Venta,4 m²,€ 6.500,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95052327/,Zaragoza,Venta,Consulting Fincas Fusion,0
Trastero - Almacén en Venta,6 m²,€ 7.000,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95662175/,Zaragoza,Venta,preferent home,0
Trastero - Almacén en Venta,3 m²,€ 4.000,desc,Trastero - Almacén,https://www.indomio.es/anuncios/91121575/,Zaragoza,Venta,Consulting Fincas Fusion,0
Local comercial en Venta,47 m²,€ 39.999,desc,Local comercial,https://www.indomio.es/anuncios/95573533/,Zamora,Venta,INMOBILIARIA MR. BIBENDO,3
Trastero - Almacén en Venta,6 m²,€ 5.900,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94711863/,Zaragoza,Venta,Api Herranz,0
Trastero - Almacén en Venta,6 m²,€ 5.500,desc,Trastero - Almacén,https://www.indomio.es/anuncios/91121581/,Zaragoza,Venta,Consulting Fincas Fusion,0
Trastero - Almacén en Venta,9 m²,€ 10.800,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95435513/,Zaragoza,Venta,Fincas Albar Sl,0
Trastero - Almacén en Venta,8 m²,€ 4.200,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94634799/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,4 m²,€ 5.500,desc,Trastero - Almacén,https://www.indomio.es/anuncios/91121583/,Zaragoza,Venta,Consulting Fincas Fusion,0
Trastero - Almacén en Venta,10 m²,€ 17.000,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95826127/,Zaragoza,Venta,INNOVA LM Inmobiliarios,0
Trastero - Almacén en Venta,7 m²,€ 4.100,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94634619/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94566571/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,7 m²,€ 8.100,desc,Trastero - Almacén,https://www.indomio.es/anuncios/91311685/,Zaragoza,Venta,Consulting Fincas Fusion,0
Trastero - Almacén en Venta,18 m²,€ 15.000,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95648987/,Zaragoza,Venta,Gti Zaragoza,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94566503/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,2 m²,€ 4.000,desc,Trastero - Almacén,https://www.indomio.es/anuncios/91028367/,Zaragoza,Venta,Consulting Fincas Fusion,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95000603/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95517807/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94567651/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,desc,Precio a consultar,desc,Trastero - Almacén,https://www.indomio.es/anuncios/94567257/,Zaragoza,Venta,Aliseda Inmobiliaria,0
Trastero - Almacén en Venta,5 m²,€ 8.300,desc,Trastero - Almacén,https://www.indomio.es/anuncios/95063555/,Zaragoza,Venta,INNOVA LM Inmobiliarios,0
Local comercial en Venta,400 m²,€ 380.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94449773/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,160 m²,€ 70.000,desc,Local comercial,https://www.indomio.es/anuncios/77626317/,Zamora,Venta,Inmobiliaria La Brasa,0
Local comercial en Venta,130 m²,€ 300.000,desc,Local comercial,https://www.indomio.es/anuncios/94449851/,Zamora,Venta,Inmobiliaria del Duero,0
Local comercial en Venta,60 m²,€ 80.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94955141/,Zamora,Venta,Inmobiliaria Santa Clara,1
Local comercial en Venta,160 m²,€ 125.000,1 baño,Local comercial,https://www.indomio.es/anuncios/94449829/,Zamora,Venta,Inmobiliaria del Duero,1
Local comercial en Venta,125 m²,€ 250.000,desc,Local comercial,https://www.indomio.es/anuncios/77395609/,Zamora,Venta,Inmobiliaria La Brasa,0
