meters,price,bathrooms,category,link,municipality,operation,owner,rooms
150 m² ,€ 250.000,1 baño,Casa rústica,https://www.indomio.es/anuncios/95725813/,Albacete,Venta,Inmobiliaria Tejares,4
102 m²,€ 145.000,2 baños,Piso,https://www.indomio.es/anuncios/88250993/,Albacete,Venta,Inmobiliaria La Mancha,5
58 m² ,€ 155.000,1 baño,Piso,https://www.indomio.es/anuncios/89736409/,Albacete,Venta,Inmobiliaria La Noria,2
115 m²,€ 135.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/90124611/,Albacete,Venta,Inmobiliaria Tejares,5
55 m²,€ 130.000,1 baño,Piso,https://www.indomio.es/anuncios/90180535/,Albacete,Venta,Meraki,2
118 m²,€ 141.000,2 baños,Piso,https://www.indomio.es/anuncios/95050971/,Albacete,Venta,Inmobiliaria La Mancha,5
118 m²,€ 175.000,2 baños,Piso,https://www.indomio.es/anuncios/95764057/,Albacete,Venta,Inmobiliaria La Mancha,6
116 m²,€ 175.000,2 baños,Piso,https://www.indomio.es/anuncios/92806365/,Albacete,Venta,Ana Isabel Martinez Marchante,6
96 m²,€ 210.000,1 baño,Piso,https://www.indomio.es/anuncios/92870577/,Albacete,Venta,Inmobiliaria Tejares,3
110 m²,€ 183.000,2 baños,Piso,https://www.indomio.es/anuncios/93317765/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,5
150 m²,€ 255.000,3 baños,Piso,https://www.indomio.es/anuncios/94353903/,Albacete,Venta,Germán - gestión de inmuebles,7
207 m²,€ 139.000,1 baño,Piso,https://www.indomio.es/anuncios/94364831/,Albacete,Venta,InmoHouse,4
150 m²,€ 330.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/95504485/,Albacete,Venta,InmoHouse,7
105 m²,€ 249.000,2 baños,Piso,https://www.indomio.es/anuncios/95520271/,Albacete,Venta,Global House Albacete,5
110 m²,€ 120.000,1 baño,Piso,https://www.indomio.es/anuncios/95549923/,Albacete,Venta,Ana Isabel Martinez Marchante,4
80 m²,€ 182.000,2 baños,Piso,https://www.indomio.es/anuncios/95629391/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
100 m²,€ 280.000,2 baños,Piso,https://www.indomio.es/anuncios/95629411/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
67 m²,€ 169.000,2 baños,Piso,https://www.indomio.es/anuncios/95739931/,Albacete,Venta,Inmobiliaria La Mancha,4
103 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/95764007/,Albacete,Venta,InmoHouse,6
65 m²,€ 170.000,1 baño,Piso,https://www.indomio.es/anuncios/83335470/,Albacete,Venta,Inmobiliaria Tejares,3
395 m²,€ 332.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/83336096/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,9
250 m²,€ 435.000,3 baños,Piso,https://www.indomio.es/anuncios/84795105/,Albacete,Venta,Inmobiliaria Tejares,8
100 m²,€ 189.000,1 baño,Piso,https://www.indomio.es/anuncios/95995399/,Albacete,Venta,InmoHouse,3
160 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/91073021/,Albacete,Venta,AGENCIA INMOBILIARIA INTURAL,6
120 m² ,€ 129.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95708121/,Albacete,Venta,Inmobiliaria La Noria,6
130 m²,€ 220.000,2 baños,Piso,https://www.indomio.es/anuncios/92747269/,Albacete,Venta,Inmobiliaria La Noria,5
260 m² ,€ 399.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95690525/,Albacete,Venta,InmoHouse,8
114 m²,€ 185.000,2 baños,Piso,https://www.indomio.es/anuncios/95916387/,Albacete,Venta,InmoHouse,5
180 m²,€ 225.000,3 baños,Piso,https://www.indomio.es/anuncios/87851821/,Albacete,Venta,InmoHouse,6
196 m²,€ 200.000,2 baños,Piso,https://www.indomio.es/anuncios/90666266/,Albacete,Venta,InmoHouse,6
650 m²,€ 880.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/94349539/,Albacete,Venta,Inmobiliaria La Mancha,10
215 m² ,€ 295.000,2 baños,Piso,https://www.indomio.es/anuncios/94547649/,Albacete,Venta,Exp España,6
70 m²,€ 130.000,1 baño,Piso ,https://www.indomio.es/anuncios/94618683/,Albacete,Venta,,4
100 m²,€ 70.000,2 baños,Piso,https://www.indomio.es/anuncios/94795573/,Albacete,Venta,InmoHouse,4
135 m²,€ 154.000,2 baños,Edificio ,https://www.indomio.es/anuncios/94873351/,Albacete,Venta,Agencia Inmobiliaria Gómez Torres,6
175 m² ,€ 225.000,2 baños,Casa unifamiliar,https://www.indomio.es/anuncios/95725837/,Albacete,Venta,Inmobiliaria Tejares,8
95 m²,€ 260.000,2 baños,Piso,https://www.indomio.es/anuncios/95298847/,Albacete,Venta,Inmobiliaria La Mancha,5
250 m²,€ 330.000,3 baños,Casa adosada,https://www.indomio.es/anuncios/95363687/,Albacete,Venta,Ana Isabel Martinez Marchante,7
90 m²,€ 200.000,2 baños,Piso,https://www.indomio.es/anuncios/95629413/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,5
155 m²,€ 245.000,2 baños,Piso,https://www.indomio.es/anuncios/95764505/,Albacete,Venta,Soluziones Inmobiliarias,5
70 m²,€ 174.000,1 baño,Piso,https://www.indomio.es/anuncios/71567046/,Albacete,Venta,Torrecastilla,3
78 m²,€ 185.000,1 baño,Piso,https://www.indomio.es/anuncios/82752151/,Albacete,Venta,Meraki,3
50 m²,€ 155.000,1 baño,Piso,https://www.indomio.es/anuncios/87799877/,Albacete,Venta,InmoHouse,2
76 m²,€ 105.000,1 baño,Piso,https://www.indomio.es/anuncios/92627437/,Albacete,Venta,Topbrokers,4
110 m²,€ 305.000,2 baños,Piso,https://www.indomio.es/anuncios/95364889/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,5
150 m²,€ 190.000,2 baños,Piso,https://www.indomio.es/anuncios/95478107/,Albacete,Venta,InmoHouse,6
113 m²,€ 120.000,1 baño,Piso,https://www.indomio.es/anuncios/95581111/,Albacete,Venta,Inmobiliaria La Noria,4
86 m²,€ 154.000,2 baños,Piso,https://www.indomio.es/anuncios/95629329/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,4
170 m²,€ 435.000,3 baños,Piso,https://www.indomio.es/anuncios/95629283/,Albacete,Venta,Servicios inmobiliarios Carretero Carcelen,8
130 m²,€ 250.000,2 baños,Piso,https://www.indomio.es/anuncios/95803289/,Albacete,Venta,Ana Isabel Martinez Marchante,6
122 m²,€ 195.000,2 baños,Piso,https://www.indomio.es/anuncios/95811999/,Albacete,Venta,InmoHouse,6
475 m²,€ 275.000,3 baños,Casa unifamiliar,https://www.indomio.es/anuncios/88966877/,Albacete,Venta,InmoHouse,8
115 m²,€ 180.000,2 baños,Piso,https://www.indomio.es/anuncios/91556249/,Albacete,Venta,Inmobiliaria Tejares,6
400 m²,€ 720.000,3+ baños,Casa unifamiliar,https://www.indomio.es/anuncios/94085577/,Albacete,Venta,Inmobiliaria La Mancha,7
130 m²,€ 279.000,2 baños,Casa adosada,https://www.indomio.es/anuncios/94212713/,Albacete,Venta,Soluziones Inmobiliarias,6
101 m²,€ 204.000,2 baños,Piso,https://www.indomio.es/anuncios/94831565/,Albacete,Venta,Inmobiliaria La Mancha,5
210 m² ,€ 150.000,1 baño,Casa unifamiliar,https://www.indomio.es/anuncios/95725835/,Albacete,Venta,Inmobiliaria Tejares,4
120 m²,€ 141.000,2 baños,Piso,https://www.indomio.es/anuncios/95058959/,Albacete,Venta,Inmobiliaria Tejares,5
320 m²,€ 400.000,3+ baños,Casa adosada,https://www.indomio.es/anuncios/95105211/,Albacete,Venta,Ana Isabel Martinez Marchante,6
65 m²,€ 66.000,1 baño,Piso ,https://www.indomio.es/anuncios/95121677/,Albacete,Venta,,4
140 m²,€ 230.000,2 baños,Piso,https://www.indomio.es/anuncios/95232261/,Albacete,Venta,Inmobiliaria La Noria,6
105 m²,€ 165.000,2 baños,Piso,https://www.indomio.es/anuncios/95306141/,Albacete,Venta,Inmobiliaria Albacete E.T.I.,6
126 m²,€ 299.000,2 baños,Piso,https://www.indomio.es/anuncios/95471109/,Albacete,Venta,Albapisos Grupo Inmobiliario,5
